mi,class,attr_method,contrast
0.05161256837178119,tool,tscore,subt-vs-grpt
0.02831225631836709,tool,tscore,subt-vs-grpt
0.07306351289497748,tool,tscore,subt-vs-grpt
0.040314556660953293,tool,tscore,subt-vs-grpt
0.05280219859261415,tool,tscore,subt-vs-grpt
0.061109699403580464,tool,tscore,subt-vs-grpt
0.07396023785815142,match,tscore,subt-vs-grpt
0.08491509399941943,match,tscore,subt-vs-grpt
0.04233516114299274,match,tscore,subt-vs-grpt
0.08273184940361755,match,tscore,subt-vs-grpt
0.07633135684964643,match,tscore,subt-vs-grpt
0.04677884984056302,match,tscore,subt-vs-grpt
0.05745822440990178,match,tscore,subt-vs-grpt
0.08803927789573418,match,tscore,subt-vs-grpt
0.056602587531187964,match,tscore,subt-vs-grpt
0.06257765844995244,match,tscore,subt-vs-grpt
0.06425111817700824,match,tscore,subt-vs-grpt
0.06625734264924521,match,tscore,subt-vs-grpt
0.09853083739054203,match,tscore,subt-vs-grpt
0.07593924122764051,match,tscore,subt-vs-grpt
0.0554583467207177,match,tscore,subt-vs-grpt
0.045975584209875464,match,tscore,subt-vs-grpt
0.09070539358565366,match,tscore,subt-vs-grpt
0.06572717118536353,match,tscore,subt-vs-grpt
0.08360881311281698,match,tscore,subt-vs-grpt
0.08047622326128945,match,tscore,subt-vs-grpt
0.07010551559282252,relation,tscore,subt-vs-grpt
0.09080236094549754,relation,tscore,subt-vs-grpt
0.04317622643310948,relation,tscore,subt-vs-grpt
0.09140021581768565,relation,tscore,subt-vs-grpt
0.09093373180502873,relation,tscore,subt-vs-grpt
0.060614200692142184,relation,tscore,subt-vs-grpt
0.0537553447233563,relation,tscore,subt-vs-grpt
0.09402078286352733,relation,tscore,subt-vs-grpt
0.04026748180181361,relation,tscore,subt-vs-grpt
0.06149967116596233,relation,tscore,subt-vs-grpt
0.07626076517950597,relation,tscore,subt-vs-grpt
0.07888058872575332,relation,tscore,subt-vs-grpt
0.10122380853371471,relation,tscore,subt-vs-grpt
0.07177214782540808,relation,tscore,subt-vs-grpt
0.062016863895553165,relation,tscore,subt-vs-grpt
0.06393914670100198,relation,tscore,subt-vs-grpt
0.10733990360743828,relation,tscore,subt-vs-grpt
0.060639901420844744,relation,tscore,subt-vs-grpt
0.09052474926913856,relation,tscore,subt-vs-grpt
0.0951961583574299,relation,tscore,subt-vs-grpt
0.04093413030991311,emotion,tscore,subt-vs-grpt
0.03902680665770841,emotion,tscore,subt-vs-grpt
0.03356017951764034,emotion,tscore,subt-vs-grpt
0.03795790818230316,emotion,tscore,subt-vs-grpt
0.041474144914925404,emotion,tscore,subt-vs-grpt
0.022776409100017325,emotion,tscore,subt-vs-grpt
0.028186932817120258,emotion,tscore,subt-vs-grpt
0.05102907492890463,emotion,tscore,subt-vs-grpt
0.029043730231918197,emotion,tscore,subt-vs-grpt
0.050104604914294804,emotion,tscore,subt-vs-grpt
0.03016493463222769,emotion,tscore,subt-vs-grpt
0.04214906883640168,emotion,tscore,subt-vs-grpt
0.04271585033629499,emotion,tscore,subt-vs-grpt
0.04082422756142723,emotion,tscore,subt-vs-grpt
0.025015619335292172,emotion,tscore,subt-vs-grpt
0.042779824419543644,emotion,tscore,subt-vs-grpt
0.04180175311297507,emotion,tscore,subt-vs-grpt
0.029372041715340025,emotion,tscore,subt-vs-grpt
0.04558685119436934,emotion,tscore,subt-vs-grpt
0.04371369865897279,emotion,tscore,subt-vs-grpt
0.03823146533340083,neut,tscore,subt-vs-grpt
0.03356877282292281,neut,tscore,subt-vs-grpt
0.023472871133702,neut,tscore,subt-vs-grpt
0.034422494969531314,neut,tscore,subt-vs-grpt
0.03237627855800884,neut,tscore,subt-vs-grpt
0.022213957607140955,neut,tscore,subt-vs-grpt
0.024977169455849157,neut,tscore,subt-vs-grpt
0.03711943434964926,neut,tscore,subt-vs-grpt
0.01968852443162472,neut,tscore,subt-vs-grpt
0.03445483600140342,neut,tscore,subt-vs-grpt
0.024768476402921458,neut,tscore,subt-vs-grpt
0.03452592945120969,neut,tscore,subt-vs-grpt
0.03018366878415346,neut,tscore,subt-vs-grpt
0.03860311624605384,neut,tscore,subt-vs-grpt
0.016587542926646215,neut,tscore,subt-vs-grpt
0.025730233997586005,neut,tscore,subt-vs-grpt
0.03800105845006829,neut,tscore,subt-vs-grpt
0.024356720501778284,neut,tscore,subt-vs-grpt
0.03543670493782791,neut,tscore,subt-vs-grpt
0.035634889843293216,neut,tscore,subt-vs-grpt
0.035815003707355686,story,tscore,subt-vs-grpt
0.05121125455179243,story,tscore,subt-vs-grpt
0.032666092180200224,story,tscore,subt-vs-grpt
0.03295521646973132,story,tscore,subt-vs-grpt
0.030967040696753934,story,tscore,subt-vs-grpt
0.03540693751032453,story,tscore,subt-vs-grpt
0.014648671499596588,story,tscore,subt-vs-grpt
0.037211047598249,story,tscore,subt-vs-grpt
0.043798734400846584,story,tscore,subt-vs-grpt
0.04075757724342566,story,tscore,subt-vs-grpt
0.04230058646308521,story,tscore,subt-vs-grpt
0.04446642110045751,story,tscore,subt-vs-grpt
0.03810956028185242,story,tscore,subt-vs-grpt
0.03952835586890746,story,tscore,subt-vs-grpt
0.034678517338146975,story,tscore,subt-vs-grpt
0.03815809495107203,story,tscore,subt-vs-grpt
0.046392665658467,story,tscore,subt-vs-grpt
0.04320306376915539,story,tscore,subt-vs-grpt
0.030598697410046505,story,tscore,subt-vs-grpt
0.0474551281904132,story,tscore,subt-vs-grpt
0.02637251679206276,math,tscore,subt-vs-grpt
0.029887464342333026,math,tscore,subt-vs-grpt
0.027511421755226806,math,tscore,subt-vs-grpt
0.02641536126072097,math,tscore,subt-vs-grpt
0.027221143855670427,math,tscore,subt-vs-grpt
0.02432947244248318,math,tscore,subt-vs-grpt
0.01600342218694628,math,tscore,subt-vs-grpt
0.02519102013403529,math,tscore,subt-vs-grpt
0.025278847127297333,math,tscore,subt-vs-grpt
0.03045291856577137,math,tscore,subt-vs-grpt
0.021662975132152873,math,tscore,subt-vs-grpt
0.028138254590311718,math,tscore,subt-vs-grpt
0.023880787118298663,math,tscore,subt-vs-grpt
0.024995902825505567,math,tscore,subt-vs-grpt
0.030778957253812855,math,tscore,subt-vs-grpt
0.024866056701601913,math,tscore,subt-vs-grpt
0.03326573709795433,math,tscore,subt-vs-grpt
0.03317984528697604,math,tscore,subt-vs-grpt
0.02049173625866807,math,tscore,subt-vs-grpt
0.03597434675586797,math,tscore,subt-vs-grpt
