"Name","Agent","Runtime","Hostname","Notes","GPU Type","GPU Count","Tags","batch_size","dropout","kernel_size","learning_rate","best_valid_epoch","test_loss","train_acc","train_loss","valid_acc","valid_loss","test_accuracy","best_valid_accuracy"
"motor-explo-1665568710.4077399","lq978dqb","462","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.3","3","0.001","6","0.06939506809786167","0.9982142857142856","0.004351443896465381","0.9785714285714284","0.07021697975578718","0.99","0.9928571428571428"
"motor-explo-1665558408.1441407","lq978dqb","604","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.7","3","0.001","11","0.09141867799240286","0.9928571428571428","0.0240037020688955","0.9642857142857144","0.08668100934414724","0.99","0.9928571428571428"
"motor-explo-1665496583.3340635","lq978dqb","943","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.6","3","0.001","22","0.06965322448591521","0.9928571428571428","0.01623576425989533","0.9785714285714284","0.100696375470286","0.99","0.9928571428571428"
"motor-explo-1665506312.0086756","lq978dqb","1181","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.7","3","0.0001","32","0.011061038754261378","0.9946428571428572","0.01203950603453904","0.9857142857142858","0.046261990482864154","0.99","0.9857142857142858"
"motor-explo-1665458227.511","lq978dqb","720","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.7","5","0.0001","10","0.103589302119071","0.9910714285714286","0.019116445006647113","0.9642857142857144","0.14222166901838018","0.99","0.9857142857142858"
"motor-explo-1665538761.061798","lq978dqb","890","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.5","3","0.001","22","0.18679298673357284","1","0.0012322700428252834","0.9857142857142858","0.3231748640537262","0.99","0.9857142857142858"
"motor-explo-1665510061.8967748","lq978dqb","1343","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.7","5","0.0001","30","0.01952154038106248","0.9946428571428572","0.011120465564531352","0.9785714285714284","0.06968944518823308","0.99","0.9857142857142858"
"motor-explo-1665606338.026858","lq978dqb","1012","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.7","5","0.001","22","0.0567995626479334","0.9928571428571428","0.019301524045928293","0.9857142857142858","0.1012061277295743","0.99","0.9857142857142858"
"motor-explo-1665593885.139746","lq978dqb","1043","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.6","3","0.001","29","0.11266599904473652","0.9928571428571428","0.02015096908358925","0.9785714285714284","0.17007000441662967","0.99","0.9857142857142858"
"motor-explo-1665489944.116013","lq978dqb","471","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.5","5","0.001","2","0.04893663217449802","0.9928571428571428","0.03210292244066039","0.9714285714285714","0.14780545043366378","0.99","0.9785714285714284"
"motor-explo-1665605020.4036765","lq978dqb","1314","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.7","5","0.0001","32","0.02475719968709722","0.9928571428571428","0.01583469663874985","0.9714285714285714","0.12634965262841433","0.99","0.9785714285714284"
"motor-explo-1665579005.002259","lq978dqb","776","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.4","5","0.001","14","0.05967600829880482","0.9982142857142856","0.004901379845699851","0.9785714285714284","0.17363192950938355","0.99","0.9785714285714284"
"motor-explo-1665500340.1436036","lq978dqb","1117","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.6","5","0.001","23","0.2072570103977594","0.9857142857142858","0.03382660456672666","0.9428571428571428","0.49775178043452367","0.99","0.9785714285714284"
"motor-explo-1665523225.160418","lq978dqb","1085","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.3","7","0.0001","12","0.22150768219890843","1","0.00034306034675449633","0.95","0.5816381915850665","0.99","0.9785714285714284"
"motor-explo-1665489074.5050054","lq978dqb","864","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.5","5","0.0001","13","0.008798045245419769","1","0.004297801802015019","0.9642857142857144","0.1923082662222211","0.99","0.9714285714285714"
"motor-explo-1665587297.8874853","lq978dqb","562","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.5","5","0.001","7","0.01903558101332692","0.9982142857142856","0.010104201913935944","0.9642857142857144","0.125839476970242","0.99","0.9714285714285714"
"motor-explo-1665575158.848207","lq978dqb","801","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.3","7","0.001","8","0.039418448638115056","0.9892857142857144","0.054317526865847614","0.9714285714285714","0.18638674476678715","0.99","0.9714285714285714"
"motor-explo-1665439544.9947438","lq978dqb","2149","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.5","7","0.00001","29","0.008477157380079916","0.9946428571428572","0.011831995284340912","0.9642857142857144","0.19461219298019197","0.99","0.9714285714285714"
